시군구_Code,급여액 (백만원)
11230,"15,754,700"
11250,"7,865,918"
11090,"3,109,922"
11160,"9,287,969"
11210,"6,961,669"
11050,"5,629,534"
11170,"6,079,037"
11180,"3,103,521"
11110,"7,363,982"
11100,"3,824,449"
11060,"4,500,363"
11200,"6,853,020"
11140,"7,581,482"
11130,"5,132,923"
11220,"12,489,338"
11040,"5,643,902"
11080,"6,381,557"
11240,"14,594,561"
11150,"8,272,740"
11190,"7,824,542"
11030,"6,122,572"
11120,"6,510,425"
11010,"2,628,977"
11020,"2,293,687"
11070,"4,560,624"
23310,"612,248"
23070,"3,509,702"
23090,"4,531,302"
23050,"6,793,310"
23020,"687,250"
23060,"6,116,418"
23080,"7,898,351"
23040,"7,400,205"
23320,"263,237"
23010,"2,079,903"
31370,"614,535"
31100,"16,677,719"
31110,"1,753,426"
31060,"4,649,553"
31250,"5,201,530"
31120,"2,598,069"
31160,"4,338,084"
31230,"7,356,225"
31130,"8,934,751"
31080,"921,803"
31050,"10,831,086"
31020,"19,574,877"
31010,"21,691,990"
31150,"7,488,034"
31090,"8,998,279"
31220,"2,553,372"
31040,"9,325,716"
31260,"2,697,226"
31380,"1,257,933"
31280,"1,244,325"
31350,"449,993"
31140,"3,553,016"
31190,"20,337,175"
31170,"2,850,366"
31030,"5,260,547"
31210,"3,689,304"
31200,"6,609,753"
31070,"8,417,082"
31270,"1,754,127"
31180,"5,310,459"
31240,"18,233,860"
32030,"2,425,463"
32400,"257,399"
32040,"1,092,166"
32070,"700,592"
32060,"891,453"
32380,"253,425"
32410,"250,832"
32330,"374,101"
32020,"4,617,536"
32390,"401,452"
32350,"354,902"
32360,"458,494"
32010,"3,676,298"
32050,"509,222"
32340,"343,227"
32310,"637,117"
32370,"297,547"
32320,"393,410"
25050,"2,097,873"
25010,"2,321,105"
25030,"6,720,671"
25040,"6,782,051"
25020,"2,684,366"
33360,"311,463"
33380,"257,085"
33320,"257,613"
33340,"383,020"
33330,"459,619"
33370,"1,313,447"
33030,"1,437,308"
33390,"483,791"
33350,"1,344,424"
33040,"13,224,584"
33020,"2,517,951"
34070,"723,931"
34020,"1,060,284"
34310,"408,289"
34060,"1,070,466"
34080,"2,362,939"
34030,"1,043,664"
34330,"491,410"
34050,"2,579,300"
34340,"413,858"
34040,"5,460,335"
34370,"717,268"
34010,"10,743,558"
34350,"244,613"
34380,"528,886"
34360,"1,121,066"
29010,"7,077,618"
24050,"5,726,068"
24030,"2,836,085"
24010,"1,358,721"
24040,"5,223,481"
24020,"4,112,775"
35370,"393,646"
35020,"3,058,065"
35060,"657,944"
35050,"668,099"
35330,"188,328"
35380,"367,207"
35360,"213,070"
35310,"976,449"
35030,"3,017,930"
35350,"211,838"
35340,"162,339"
35010,"8,764,483"
35040,"947,077"
35320,"195,131"
36390,"262,327"
36350,"378,642"
36320,"235,925"
36060,"2,277,933"
36330,"196,363"
36040,"1,397,315"
36310,"456,484"
36010,"2,190,236"
36420,"1,099,846"
36360,"263,930"
36030,"3,729,809"
36480,"255,583"
36020,"3,724,350"
36440,"502,173"
36410,"544,657"
36460,"319,273"
36450,"435,070"
36380,"280,235"
36470,"199,069"
36430,"240,614"
36400,"467,739"
36370,"600,156"
22040,"1,265,781"
22070,"6,881,502"
22310,"3,304,242"
22020,"3,765,527"
22050,"4,918,323"
22030,"1,344,927"
22060,"6,547,808"
22010,"898,389"
37100,"2,955,897"
37020,"3,115,601"
37370,"265,597"
37050,"6,145,434"
37310,"180,447"
37030,"1,584,819"
37090,"612,571"
37410,"208,351"
37080,"749,518"
37380,"317,942"
37040,"1,614,702"
37350,"223,480"
37340,"113,944"
37060,"964,180"
37070,"952,320"
37400,"550,234"
37430,"111,730"
37420,"534,466"
37320,"315,451"
37360,"312,338"
37330,"165,133"
37390,"1,323,312"
37010,"6,793,482"
21120,"2,273,491"
21110,"2,850,239"
21310,"2,147,850"
21070,"3,365,320"
21030,"876,983"
21060,"3,551,690"
21050,"4,115,212"
21080,"3,450,459"
21150,"2,250,660"
21100,"3,526,321"
21020,"1,129,837"
21140,"2,192,339"
21130,"2,665,328"
21040,"1,058,284"
21010,"363,203"
21090,"6,095,863"
26020,"5,518,457"
26030,"2,451,081"
26040,"4,029,598"
26310,"3,326,909"
26010,"3,307,086"
38090,"3,444,241"
38390,"532,058"
38340,"393,237"
38070,"7,250,388"
38350,"300,021"
38080,"959,963"
38060,"1,333,328"
38370,"252,035"
38100,"4,464,810"
38310,"219,162"
38030,"4,498,419"
38330,"533,076"
38110,"15,058,657"
38050,"1,076,484"
38360,"310,077"
38320,"693,680"
38380,"300,136"
38400,"302,771"
39020,"5,730,762"
39010,"1,787,320"
