시도시군구_Code,순이동(전입-전출)(명)
11010,"-1,622"
11020,-956
11030,"1,297"
11040,"-7,943"
11050,"-4,777"
11060,"-3,227"
11070,"-1,998"
11080,"-5,278"
11090,"-5,031"
11100,"-7,457"
11110,"-9,531"
11120,199
11130,"2,925"
11140,"-2,452"
11150,"-3,940"
11160,"-12,375"
11170,"-3,139"
11180,"-1,210"
11190,"10,783"
11200,"-5,154"
11210,"-4,925"
11220,"-6,419"
11230,"-6,257"
11240,"-9,529"
11250,"23,166"
21010,-99
21020,585
21030,"1,230"
21040,"-2,479"
21050,"3,023"
21060,-248
21070,"-5,943"
21080,"-6,755"
21090,"-3,678"
21100,"-8,391"
21110,"-5,252"
21120,"7,636"
21130,18
21140,"1,179"
21150,"-4,856"
21310,"9,683"
22010,-700
22020,"-2,875"
22030,"-3,604"
22040,-612
22050,"2,547"
22060,"-3,470"
22070,"-9,769"
22310,"1,648"
23010,"4,458"
23020,"-1,600"
23040,"19,698"
23050,"-7,650"
23060,"-16,589"
23070,"-6,484"
23080,"-3,962"
23090,"-4,209"
23310,590
23320,0
24010,"4,595"
24020,"-4,242"
24030,"-3,098"
24040,"-2,871"
24050,-467
25010,"-3,123"
25020,"-4,202"
25030,"-3,835"
25040,438
25050,-375
26010,"-5,839"
26020,"-4,058"
26030,"-3,052"
26040,62
26310,-697
29010,"13,025"
31010,"-11,314"
31020,"-3,598"
31030,"9,931"
31040,"-17,963"
31050,"-12,575"
31060,"-18,290"
31070,"23,018"
31080,-40
31090,"3,055"
31100,"12,353"
31110,"4,789"
31120,"-1,943"
31130,"11,096"
31140,"2,546"
31150,"25,378"
31160,"-2,571"
31170,"2,439"
31180,"20,100"
31190,"12,693"
31200,"11,289"
31210,"2,466"
31220,"3,989"
31230,"35,171"
31240,"36,165"
31250,"8,577"
31260,"8,188"
31270,-432
31280,"1,174"
31350,-107
31370,349
31380,"2,440"
32010,"1,682"
32020,"5,161"
32030,612
32040,355
32050,-952
32060,"1,075"
32070,"-1,717"
32310,548
32320,251
32330,-185
32340,-136
32350,-153
32360,-810
32370,-12
32380,-463
32390,34
32400,-267
32410,434
33020,61
33030,"-1,102"
33040,"4,485"
33320,-108
33330,-75
33340,-808
33350,"2,586"
33360,635
33370,"-1,375"
33380,-340
33390,-505
34010,"4,697"
34020,"-1,274"
34030,-321
34040,"1,210"
34050,936
34060,"-1,386"
34070,-155
34080,-649
34310,-363
34330,-673
34340,-388
34350,-385
34360,17
34370,-448
34380,-77
35010,"3,146"
35020,"-1,768"
35030,"-4,597"
35040,"-1,132"
35050,-187
35060,-644
35310,-247
35320,-133
35330,8
35340,-182
35350,"-1,344"
35360,-352
35370,-446
35380,-616
36010,"-5,255"
36020,"-2,004"
36030,"2,713"
36040,"1,232"
36060,"-5,230"
36310,53
36320,-478
36330,-588
36350,-200
36360,-441
36370,174
36380,-484
36390,-365
36400,-991
36410,-598
36420,"5,337"
36430,-453
36440,-667
36450,"-1,017"
36460,-372
36470,782
36480,-902
37010,"-3,527"
37020,-862
37030,-199
37040,-329
37050,"-4,424"
37060,"-1,267"
37070,155
37080,"-2,604"
37090,-302
37100,841
37310,-297
37320,-185
37330,-48
37340,-94
37350,-638
37360,-110
37370,-692
37380,-256
37390,"-1,997"
37400,872
37410,-285
37420,-217
37430,-513
38030,"1,177"
38050,"-2,531"
38060,-366
38070,-721
38080,83
38090,"-2,894"
38100,811
38110,"-7,858"
38310,-38
38320,"-1,063"
38330,-467
38340,-419
38350,-66
38360,"-1,294"
38370,-113
38380,-107
38390,-211
38400,-581
39010,"2,506"
39020,872
