시도시군구_Code,청장년층(경제활동 가능 인구)
11010,"99,443"
11020,"85,116"
11030,"154,226"
11040,"206,711"
11050,"251,393"
11060,"238,146"
11070,"274,638"
11080,"303,471"
11090,"206,220"
11100,"220,647"
11110,"361,577"
11120,"325,340"
11130,"217,752"
11140,"263,518"
11150,"313,141"
11160,"408,695"
11170,"279,606"
11180,"165,150"
11190,"261,623"
11200,"275,008"
11210,"362,863"
11220,"282,871"
11230,"364,545"
11240,"463,077"
11250,"315,438"
21010,"26,058"
21020,"66,836"
21030,"55,417"
21040,"70,861"
21050,"242,231"
21060,"178,971"
21070,"177,258"
21080,"196,790"
21090,"267,919"
21100,"211,364"
21110,"157,804"
21120,"87,900"
21130,"139,197"
21140,"115,721"
21150,"149,151"
21310,"110,728"
22010,"50,108"
22020,"224,104"
22030,"114,829"
22040,"96,597"
22050,"314,238"
22060,"287,340"
22070,"400,691"
22310,"175,399"
23010,"93,259"
23020,"39,839"
23040,"272,615"
23050,"371,142"
23060,"352,460"
23070,"217,381"
23080,"386,557"
23090,"279,646"
23310,"36,304"
23320,"10,831"
24010,"68,754"
24020,"210,942"
24030,"144,011"
24040,"304,844"
24050,"294,706"
25010,"156,054"
25020,"156,091"
25030,"346,262"
25040,"262,076"
25050,"125,042"
26010,"150,749"
26020,"232,014"
26030,"108,189"
26040,"154,944"
26310,"151,044"
29010,"238,806"
31010,"858,999"
31020,"654,360"
31030,"316,275"
31040,"390,706"
31050,"589,104"
31060,"210,187"
31070,"368,928"
31080,"59,788"
31090,"488,284"
31100,"746,021"
31110,"41,206"
31120,"138,686"
31130,"477,503"
31140,"164,709"
31150,"362,531"
31160,"194,890"
31170,"115,298"
31180,"196,751"
31190,"723,266"
31200,"305,185"
31210,"145,838"
31220,"125,159"
31230,"310,885"
31240,"589,862"
31250,"262,709"
31260,"152,396"
31270,"95,745"
31280,"69,905"
31350,"25,018"
31370,"36,064"
31380,"68,144"
32010,"188,664"
32020,"244,559"
32030,"143,293"
32040,"56,919"
32050,"25,690"
32060,"53,551"
32070,"40,974"
32310,"40,580"
32320,"26,112"
32330,"21,377"
32340,"23,860"
32350,"21,025"
32360,"25,614"
32370,"14,085"
32380,"12,876"
32390,"18,575"
32400,"14,782"
32410,"15,744"
33020,"140,453"
33030,"86,410"
33040,"592,196"
33320,"17,174"
33330,"28,307"
33340,"26,670"
33350,"54,590"
33360,"21,234"
33370,"58,443"
33380,"16,009"
33390,"24,335"
34010,"476,672"
34020,"64,345"
34030,"59,027"
34040,"212,480"
34050,"112,391"
34060,"68,741"
34070,"28,183"
34080,"104,396"
34310,"29,378"
34330,"34,405"
34340,"26,246"
34350,"16,116"
34360,"60,849"
34370,"43,822"
34380,"34,791"
35010,"454,890"
35020,"173,488"
35030,"185,470"
35040,"61,469"
35050,"45,350"
35060,"44,135"
35310,"56,259"
35320,"12,452"
35330,"12,439"
35340,"11,204"
35350,"13,963"
35360,"13,996"
35370,"27,668"
35380,"27,220"
36010,"148,857"
36020,"176,371"
36030,"183,925"
36040,"66,966"
36060,"99,027"
36310,"23,338"
36320,"14,110"
36330,"12,817"
36350,"29,427"
36360,"18,902"
36370,"34,808"
36380,"18,919"
36390,"17,323"
36400,"34,867"
36410,"31,098"
36420,"51,633"
36430,"15,233"
36440,"27,689"
36450,"22,116"
36460,"25,402"
36470,"15,216"
36480,"18,058"
37010,"332,630"
37020,"161,816"
37030,"84,812"
37040,"97,638"
37050,"297,051"
37060,"61,379"
37070,"58,631"
37080,"54,351"
37090,"38,827"
37100,"184,752"
37310,"11,221"
37320,"24,498"
37330,"12,873"
37340,"8,314"
37350,"17,892"
37360,"20,973"
37370,"17,101"
37380,"23,106"
37390,"75,460"
37400,"29,167"
37410,"15,771"
37420,"27,171"
37430,"5,346"
38030,"235,131"
38050,"81,166"
38060,"67,138"
38070,"380,013"
38080,"60,302"
38090,"166,891"
38100,"237,998"
38110,"712,795"
38310,"13,407"
38320,"37,586"
38330,"33,490"
38340,"27,387"
38350,"21,254"
38360,"22,917"
38370,"17,365"
38380,"20,138"
38390,"34,305"
38400,"21,164"
39010,"328,562"
39020,"111,702"
